Date : 2024-01-05 20:02:42
Directory : /Users/richardtozer/dev/projects/daufootytipping
Total : 122 files,  10780 codes, 763 comments, 799 blanks, all 12342 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /Users/richardtozer/dev/projects/daufootytipping/devtools_options.yaml                                                | YAML         |          2 |          0 |          0 |          2 |
| /Users/richardtozer/dev/projects/daufootytipping/firebase.json                                                        | JSON         |         17 |          0 |          1 |         18 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/Runner/AppDelegate.swift                                         | Swift        |         21 |          0 |          3 |         24 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json          | JSON         |         14 |          0 |          1 |         15 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Assets.xcassets/Contents.json                             | JSON         |          6 |          0 |          1 |          7 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json        | JSON         |         23 |          0 |          1 |         24 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md            | Markdown     |          3 |          0 |          2 |          5 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Base.lproj/LaunchScreen.storyboard                        | XML          |         36 |          1 |          1 |         38 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Base.lproj/Main.storyboard                                | XML          |         28 |          1 |          1 |         30 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Runner-Bridging-Header.h                                  | C++          |          1 |          0 |          1 |          2 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/RunnerTests/RunnerTests.swift                                    | Swift        |          7 |          2 |          4 |         13 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/ci_scripts/ci_post_clone.sh                                      | Shell Script |         12 |         12 |         12 |         36 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/firebase_app_id_file.json                                        | JSON         |          7 |          0 |          0 |          7 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/firebase_options.dart                                            | Dart         |         72 |         12 |          6 |         90 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/main.dart                                                        | Dart         |         48 |         18 |         12 |         78 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/crowdsourcedscore.dart                                    | Dart         |          9 |          1 |          4 |         14 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/daucomp.dart                                              | Dart         |         36 |          3 |          6 |         45 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/dauround.dart                                             | Dart         |          2 |         45 |          1 |         48 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/game.dart                                                 | Dart         |         84 |          4 |          9 |         97 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/game_scoring.dart                                         | Dart         |        189 |          1 |         11 |        201 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/league.dart                                               | Dart         |         11 |          0 |          2 |         13 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/location_latlong.dart                                     | Dart         |         12 |          0 |          4 |         16 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/team.dart                                                 | Dart         |         53 |          2 |          7 |         62 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/tip.dart                                                  | Dart         |         39 |          3 |          7 |         49 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/tipper.dart                                               | Dart         |         48 |          2 |         10 |         60 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/tipperrole.dart                                           | Dart         |          1 |          1 |          1 |          3 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_daucomps_edit_add.dart                | Dart         |        200 |         12 |         14 |        226 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_daucomps_list.dart                    | Dart         |         81 |          1 |          5 |         87 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_daucomps_viewmodel.dart               | Dart         |        104 |         11 |         34 |        149 |
