"filename", "language", "XML", "Markdown", "CMake", "C++", "YAML", "JSON", "HTML", "Shell Script", "TypeScript", "JavaScript", "JSON with Comments", "Dart", "Gradle", "Properties", "Swift", "comment", "blank", "total"
"/Users/richardtozer/dev/projects/daufootytipping/firebase.json", "JSON", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"/Users/richardtozer/dev/projects/daufootytipping/functions/.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 1, 33
"/Users/richardtozer/dev/projects/daufootytipping/functions/package-lock.json", "JSON", 0, 0, 0, 0, 0, 5475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5476
"/Users/richardtozer/dev/projects/daufootytipping/functions/package.json", "JSON", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"/Users/richardtozer/dev/projects/daufootytipping/functions/src/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 7, 16
"/Users/richardtozer/dev/projects/daufootytipping/functions/src/services/messaging_service_send_not_tipped_reminders.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 11, 20, 185
"/Users/richardtozer/dev/projects/daufootytipping/functions/tsconfig.dev.json", "JSON", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/richardtozer/dev/projects/daufootytipping/functions/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"/Users/richardtozer/dev/projects/daufootytipping/html/recaptcha.html", "HTML", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"/Users/richardtozer/dev/projects/daufootytipping/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 3, 17
"/Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
