Date : 2023-12-16 21:26:54
Directory : /Users/richardtozer/dev/projects/daufootytipping
Total : 107 files,  9960 codes, 696 comments, 655 blanks, all 11311 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Runner-Bridging-Header.h                                  | C++        |          1 |          0 |          1 |          2 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/RunnerTests/RunnerTests.swift                                    | Swift      |          7 |          2 |          4 |         13 |
| /Users/richardtozer/dev/projects/daufootytipping/ios/firebase_app_id_file.json                                        | JSON       |          7 |          0 |          0 |          7 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/firebase_options.dart                                            | Dart       |         72 |         12 |          6 |         90 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/locator.dart                                                     | Dart       |          6 |          0 |          3 |          9 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/main.dart                                                        | Dart       |         34 |          4 |          9 |         47 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/crowdsourcedscore.dart                                    | Dart       |          9 |          1 |          4 |         14 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/daucomp.dart                                              | Dart       |         36 |          3 |          6 |         45 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/dauround.dart                                             | Dart       |          2 |         45 |          1 |         48 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/game.dart                                                 | Dart       |         79 |          4 |          9 |         92 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/game_scoring.dart                                         | Dart       |         80 |          0 |          8 |         88 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/league.dart                                               | Dart       |         11 |          0 |          2 |         13 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/team.dart                                                 | Dart       |         53 |          2 |          7 |         62 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/tip.dart                                                  | Dart       |         39 |          3 |          7 |         49 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/tipper.dart                                               | Dart       |         39 |          2 |          6 |         47 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/models/tipperrole.dart                                           | Dart       |          1 |          1 |          1 |          3 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_daucomps_edit_add.dart                | Dart       |        200 |         12 |         14 |        226 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_daucomps_list.dart                    | Dart       |         78 |          2 |          5 |         85 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_daucomps_viewmodel.dart               | Dart       |        104 |         11 |         34 |        149 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_daurounds_viewmodel.dart              | Dart       |          0 |        134 |          0 |        134 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_games_list.dart                       | Dart       |         20 |          0 |          4 |         24 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_games_viewmodel.dart                  | Dart       |        193 |         40 |         39 |        272 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_teams/admin_teams_edit.dart                          | Dart       |        189 |         11 |         13 |        213 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_teams/admin_teams_list.dart                          | Dart       |         71 |          3 |          5 |         79 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_teams/admin_teams_viewmodel.dart                     | Dart       |        108 |         20 |         25 |        153 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_tippers/admin_tippers_edit_add.dart                  | Dart       |        294 |         12 |         13 |        319 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_tippers/admin_tippers_list.dart                      | Dart       |         66 |          1 |          3 |         70 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_tippers/admin_tippers_viewmodel.dart                 | Dart       |        174 |         47 |         43 |        264 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_auth/user_auth.dart                                   | Dart       |         77 |          5 |          7 |         89 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/appstate_viewmodel.dart                          | Dart       |         10 |          1 |          2 |         13 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/tips_viewmodel.dart                              | Dart       |        151 |          5 |         30 |        186 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home.dart                                   | Dart       |         64 |          3 |         13 |         80 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_profile.dart                           | Dart       |         37 |          2 |          3 |         42 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_tips.dart                              | Dart       |        156 |          3 |          7 |        166 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_tips_tipchoice.dart                    | Dart       |         99 |          0 |          5 |        104 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_settings_about.dart                         | Dart       |         31 |          0 |          3 |         34 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_settings_adminfunctions.dart                | Dart       |         56 |          0 |          2 |         58 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/services/fixture_download_service.dart                           | Dart       |         71 |          6 |         10 |         87 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/services/fixture_mock_data_2024_afl_full.dart                    | Dart       |      2,279 |          3 |          2 |      2,284 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/services/fixture_mock_data_2024_nrl_full.dart                    | Dart       |      2,246 |          3 |          2 |      2,251 |
| /Users/richardtozer/dev/projects/daufootytipping/linux/flutter/generated_plugin_registrant.cc                         | C++        |         15 |          4 |          5 |         24 |
