"filename", "language", "XML", "Shell Script", "JSON", "YAML", "Dart", "Markdown", "Gradle", "Properties", "HTML", "C++", "JavaScript", "CSS", "Objective-C", "Swift", "Java", "Batch", "PowerShell", "Groovy", "Ruby", "TypeScript", "JSON with Comments", "WebAssembly Text Format", "comment", "blank", "total"
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/canvaskit/canvaskit.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 218
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/canvaskit/canvaskit.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126160, 0, 3631, 129791
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/canvaskit/chromium/canvaskit.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 217
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/canvaskit/chromium/canvaskit.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104420, 0, 2647, 107067
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/canvaskit/skwasm.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 172
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/canvaskit/skwasm.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53695, 0, 1401, 55096
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/canvaskit/skwasm.worker.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/flutter.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/flutter_bootstrap.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 17
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/flutter_service_worker.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 3, 258
