"filename", "language", "Shell Script", "JSON", "Dart", "TypeScript", "JSON with Comments", "JavaScript", "XML", "YAML", "Gradle", "Swift", "comment", "blank", "total"
"/Users/richardtozer/dev/projects/daufootytipping/functions/src/services/messaging_service_prune_devicetokens.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 1, 48
"/Users/richardtozer/dev/projects/daufootytipping/functions/tsconfig.dev.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/richardtozer/dev/projects/daufootytipping/functions/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"/Users/richardtozer/dev/projects/daufootytipping/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 2, 0, 0
"/Users/richardtozer/dev/projects/daufootytipping/lib/extensions/disposesafechangenotifier.dart", "Dart", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 4, 20
"/Users/richardtozer/dev/projects/daufootytipping/lib/main.dart", "Dart", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, -6, 8, 36
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/crowdsourcedscore.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 2, 23
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/daucomp.dart", "Dart", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 1, 2, 33
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/dauround.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, -42, 5, -9
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/devicetoken.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 4, 19
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/game.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 0, 15
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/game_scoring.dart", "Dart", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 10, 7, 111
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/league.dart", "Dart", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/scoring_leaderboard.dart", "Dart", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 2, 5, 50
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/scoring_roundscores.dart", "Dart", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 2, 6, 66
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/scoring_roundwinners.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 3, 28
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/tip.dart", "Dart", 0, 0, -39, 0, 0, 0, 0, 0, 0, 0, -3, -7, -49
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/tipgame.dart", "Dart", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 6, 10, 75
"/Users/richardtozer/dev/projects/daufootytipping/lib/models/tipper.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 22, 2, 43
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_daucomps_edit.dart", "Dart", 0, 0, 421, 0, 0, 0, 0, 0, 0, 0, 30, 26, 477
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_daucomps_edit_add.dart", "Dart", 0, 0, -200, 0, 0, 0, 0, 0, 0, 0, -12, -14, -226
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_daucomps_list.dart", "Dart", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 0, 10
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_daucomps_viewmodel.dart", "Dart", 0, 0, 537, 0, 0, 0, 0, 0, 0, 0, 101, 118, 756
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_daurounds_viewmodel.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -131, 0, -131
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_games_list.dart", "Dart", 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, 24, -4, 0
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_games_viewmodel.dart", "Dart", 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -28, -13, -101
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_scoring_viewmodel.dart", "Dart", 0, 0, 314, 0, 0, 0, 0, 0, 0, 0, 24, 59, 397
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_teams/admin_teams_edit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_teams/admin_teams_list.dart", "Dart", 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_tippers/admin_tippers_edit_add.dart", "Dart", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 9, 3, 82
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_tippers/admin_tippers_list.dart", "Dart", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 6, 72
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_tippers/admin_tippers_viewmodel.dart", "Dart", 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 11, 35, 203
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_auth/auth_viewmodel.dart", "Dart", 0, 0, -144, 0, 0, 0, 0, 0, 0, 0, -5, -20, -169
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_auth/user_auth.dart", "Dart", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 3, 11, 86
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/alltips_viewmodel.dart", "Dart", 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 15, 27, 205
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/appstate_viewmodel.dart", "Dart", 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, -1, -2, -13
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/gametips_viewmodel.dart", "Dart", 0, 0, -55, 0, 0, 0, 0, 0, 0, 0, 15, 0, -40
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/tips_viewmodel.dart", "Dart", 0, 0, -170, 0, 0, 0, 0, 0, 0, 0, -6, -30, -206
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home.dart", "Dart", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 3, 50
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_profile.dart", "Dart", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_profile_settings_about.dart", "Dart", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_profile_settings_adminfunctions.dart", "Dart", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 4, 68
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_stats.dart", "Dart", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 19, 5, 109
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_stats_leaderboard.dart", "Dart", 0, 0, 366, 0, 0, 0, 0, 0, 0, 0, 6, 11, 383
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_stats_roundwinners.dart", "Dart", 0, 0, 209, 0, 0, 0, 0, 0, 0, 0, 2, 11, 222
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_tips.dart", "Dart", 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 4, 14, 180
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_tips_gameinfo.dart", "Dart", 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_tips_gamelistitem.dart", "Dart", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 6, 5, 45
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_tips_livescoring.dart", "Dart", 0, 0, 189, 0, 0, 0, 0, 0, 0, 0, 5, 10, 204
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_tips_tipchoice.dart", "Dart", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 4, -1, 62
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_settings_about.dart", "Dart", 0, 0, -32, 0, 0, 0, 0, 0, 0, 0, 0, -3, -35
"/Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_settings_adminfunctions.dart", "Dart", 0, 0, -56, 0, 0, 0, 0, 0, 0, 0, 0, -2, -58
